"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.223058133218786","2.05548592827715","0.186907630522088","17.063550036523","21.1851377322229","-3.85780885780886","-1.65549252191851","-5.8744394618834","-0.418781725888325","6.16194331983806","12.9139314369073","6.81314994968132","27.1368352788586","-6.82970474202208","-14.0736377025037","16.9476082004556","7.81634326318665","-4.6878097125867","-8.8058340554927","8.92028704152164","-17.590235760484","0.664177638042837","-0.415663968497046","7.61156648451731","18.5048708174503","-12.0337534714805","8.29827536350606","8.9793112489992","-0.971130901206636","0.923362086669774","5.25401548718154","4.14876025000987","-2.21528584778852","6.17105655809443","4.27205032057627","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.10603062958767","0.815351699583988","0.438576328250319","0.262771272942619","1.22673262392136","0.378815652578409","0.542073663205875","0.0617525911499673","0.151892171249908","-0.0209720251100701","0.314194019363118","0.216816284049344","0.361513381027314","0.0506463973969055","0.410179996373065","0.0713867659095514","0.290438776325073","0.156371211411021","0.269714183128422","0.188947217908007","0.0324800019994672","0.461290541135091","0.272028870999989","0.353969344535392","0.508272652365213","1.01265708253357","0.794203477793755","2.08360884939101","1.58442763174806","2.43930787256612","1.55344352062115","4.82204650879255","2.48786221815883","2.47811826786229","1.85947411265842","2.05783884309418","1.26783746592303","2.47318144407424","3.23340473322755","2.60169557079414","1.63602010877716","1.83849228332321","2.52933891367552","2.18607610863681","2.75252827251817","3.10887305694277","1.89070263238803","0.990503696206134","1.34512600632333","1.50282716426471","1.39868303997223","4.91157549374326","1.54893435745402",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","","1.29727420799131","1.27326894289774","3.57989394891634","4.35257534872287","3.41395657700423","1.94210129569281","0.449119722386362","0.461604318218299","1.2202657011729","0.286818219102275","0.281255499281746","0.234926111766299","0.209119434856893","0.845811546710676","0.519387512057898","0.272718742817068","0.648439172766145","0.123804125451931","0.0643889050032797","0.141265755036907","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.55659297843339","2.0847292980814","1.85348543882173","1.82769232835388","1.06469670327303","1.56686709360211","0.863060550442263","0.955440110023896","0.872265684932899","0.860265783839285","-0.274489370295516","0.43029560136517","0.480353312208032","0.568124482817295","0.302154693258519","0.783943536386151","0.190999563666866","0.942447607994609","0.628420803264131","1.88258133506632","0.697261155389862","0.706895150519238","1.03717377288837","1.83622469491042","2.75560209063453","0.871000831603803","1.04745868265912","1.11079549790143","1.31492746004167","1.55563873573625","1.81636880552854","2.17084032596114","2.48786142246392","2.56422800915233","1.83027642893867","2.98438097625761","2.31843505354869","2.79936888010614","2.87384597245511","3.5722024314824","3.15349093899815","3.59245869670064","2.83527464011266","2.29721183506765","1.85593323743429","2.03516292286433","2.01587782871002","2.57883675454325","2.01985911879492","1.51393984146077","1.36730396933294","2.05503533790414","1.43320142777679",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630975103967161","0.883706869873758","2.08648507255308","1.80366249575565","1.09500567622465","3.68013758032242","3.30857271569459","1.4719684486904","1.49375642275957","1.9604420096587","-2.98142869155218","5.23040607142857","1.90518257017544","2.73345697278912","5.02285798554785","8.49502107849993","2.39882907457034","5.38231807584834","17.1215906483088","40.1672509619126","9.62386631013722","24.0090753373145","11.4061918203987","20.0810143942558","9.32923923994127","-3.5266571650801","-0.0720009963994447","-1.36876239076898","1.8963139009608","3.13666066989156","-3.95009776146954","-2.7630352926289","-1.17171916561076","-5.3372810761299","2.66496383453372","11.4977019059198","-0.360184289272602","-10.7249505478881","-8.29905135606258","-5.91333338289549","-3.71500255332145","-6.6302621670277","-6.18351502862384",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","3.06666159864896","4.89321210624299","2.81772380073533","2.92548596657615","2.81594106683735","2.1031528051092","1.76789579262462","1.28264133419298","4.10877595525929","5.28543275433979","3.10482707446756","3.17270817814522","4.75017450889019","3.25976770729301","3.6548513466532","6.10897965072408","9.68207086703932","11.1706432239538","9.13813121508568","8.1353361623445","7.45135493236808","9.81628455146501","8.69303872198522","8.69053392002112","8.80509197849022","7.85544826704409","7.94635567518757","7.79792050752732","7.05509220945392","6.79614080368671","7.63359072117973",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.472181122805515","-0.0827096784992136","0.266902129805471","-0.806742068807516","-2.88970893220136","1.40768589450797","0.0735684782890734","0.654985825234412","0.568930355116294","0.0974856539654717","-0.492501853079242","1.77398538112746","2.94233949603356","1.52929112205526","1.57859007270671","0.484653935849987","0.658913526491291","0.0264240778775284","0.383028182864318","0.277014926410641","0.476906790491479","0.453406879599035","0.739298238603108","0.903327527432423","0.97377524633029","0.0551182396144555","0.597093467827709","1.35688041582261","1.48751295184431","0.424229062488426","0.468964246318294","1.11022964015097","0.763564862789876","1.63565831676694","2.01481054000224","3.53408324438939","4.49658981835144","4.55114911841508","3.92422953396691","3.85843721603735","2.99838161212956","1.75423156619635","1.81452998234929","1.45365179970285","1.07629198783798","1.00514705865919","1.29042176508474","1.14983362781769","1.21477074786101","1.36099493590017","1.48414644994108","1.90747130433496","1.54465948471806",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108350617080105","0.257271627267014","0.451274583969912","0.164537290309491","0.206817078793859","0.223949268428439","-0.034337774627179","0.203892014060566","0.106393607618713","0.407195240934515","-0.544187526835552","0.324685539041065","0.128404884092042","0.520707068990223","0.0935487850536073","-0.228435309406528","0.0503179637301319","0.239162943469002","0.721471948889765","0.105319789259975","0.608195467069962","0.408474866570238","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532816973","1.14589216989256","0.0867813661375527","3.42266271330333","6.76715211324682","6.03481603924168","5.76543753210014","5.50043971843078","1.6048746086738","0.447367363952641","3.03559369451727","2.03957459089259","2.48736336342261","2.43989565736634","2.67360384793242","2.30933522450296","2.60111969076201","2.65141548152326","2.43186975978915","4.27633945781657","5.68984379126228","4.97976995747666","4.47980119339397",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.28422429708083","0.377464477473511","0.206489502181284","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476632771","0.25360595928857","0.280742880870953","0.297462920191234","0.88095511006333","1.0638454401874","0.269252481027723","0.177920358938206","0.229226258869266","1.04253057681433","0.542162214587862","-0.0174614882944816","0.903930865567581","1.34151590594557","1.29887926251825","1.28557885422783","1.93679386381865","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.38106854489628","2.25129423568361","2.68990096507093","1.20643922647566","2.67516171886537","2.04465976790006","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.584748944633581","1.78936503275063","2.23253155040464","1.4850068654261","1.2668264051226","1.41676024344495","2.43506169195401",
