CONSTANT,TEMP,TLU,RAIN,POP,DEBT,ECO,R2_SCORE,MSE_SCORE
17.604213422682093,2.34388947006941,1.5602627901224344,1.5970840375791056,-1.8493705300762269,2.371175431370814,0.920129960176492,-2.7176555356920806,22.301081377648373
17.747336541498044,2.045701230882011,1.6563681583263656,1.3259364652219592,-1.6720128959905916,2.6688649275036713,1.1736391969747115,-5.050488973018015,14.386657652221643
17.805785874021453,2.3048798437632887,1.75262421764056,1.5184095784847582,-2.0168618412992725,2.884785469636179,1.0710993002097309,0.14003331880352943,1.7806470586680625
18.062599298202013,1.9796192205892535,2.1004828844959618,1.0671936491271041,-1.4387449859004302,2.551641933012047,1.7324700890158478,-18.442862649326656,8.890162533822986
17.905291758779157,2.3547471060219083,1.8201941429181632,1.687223138539233,-1.6976726309438892,2.876376513189556,1.1939671235288245,-98.73755788911596,13.374321487077127
17.88833100929012,2.659960671852356,1.6783991012012716,1.7730626830878216,-1.8594090465993933,2.5954955425488344,1.248964648610198,-1.0534066972211327,11.620045798970425
17.971798606884942,2.6285211613111175,1.6310036240230417,1.6184659211015904,-2.2475215210391313,2.7849547420923995,1.1469573589927367,-2.6324187686940133,9.402370734182574
17.684473294056257,2.5256498343748013,1.5800750737173839,1.441078511643253,-2.5632260082802327,3.1706583466439113,1.2723012813383563,0.8219422541292409,0.9981226208991897
17.82014699118128,2.4506298015305257,1.8110966741975791,1.5000204624459712,-2.267516812103396,3.0282025860473314,1.09884059816739,0.013281648855292927,6.758888507911403
17.94412652438845,2.3263222251233433,1.431346376763047,1.542098368584116,-2.249726762221292,2.913704321437606,1.124288374679286,0.5887856008361385,4.791757959329943
